1,0.185
2,0.183
3,0.187
4,0.175
5,0.188
6,0.192
7,0.163
8,0.171
9,0.176
10,0.169
11,0.174
12,0.176
13,0.172
14,0.188
15,0.176
16,0.193
17,0.186
18,0.172
19,0.188
20,0.182
21,0.170
22,0.187
23,0.166
24,0.181
25,0.167
26,0.168
27,0.172
28,0.194
29,0.177
30,0.190
31,0.153
32,0.161
33,0.184
34,0.195
35,0.160
36,0.160
37,0.148
38,0.160
39,0.190
40,0.188
41,0.163
42,0.184
43,0.317
44,0.237
45,0.291
46,0.183
47,0.206
48,0.198
49,0.195
50,0.181
51,0.182
52,0.181
53,0.180
54,0.184
55,0.189
56,0.181
57,0.180
58,0.182
59,0.180
60,0.201
61,0.180
62,0.180
63,0.181
64,0.182
65,0.193
66,0.182
67,0.181
68,0.182
69,0.181
70,0.180
71,0.195
72,0.181
73,0.179
74,0.181
75,0.179
76,0.202
77,0.181
78,0.182
79,0.182
80,0.182
81,0.192
82,0.181
83,0.181
84,0.182
85,0.180
86,0.180
87,0.193
88,0.182
89,0.181
90,0.182
91,0.181
92,0.187
93,0.186
94,0.183
95,0.181
96,0.185
97,0.181
98,0.175
99,0.181
100,0.181
