-50,42.0931
-49,42.3802
-48,42.0153
-47,41.6576
-46,43.0419
-45,41.4866
-44,42.7880
-43,41.4853
-42,41.2414
-41,41.5011
-40,41.2223
-39,41.2175
-38,41.0542
-37,42.2046
-36,41.2318
-35,40.6954
-34,40.2200
-33,39.9302
-32,39.8136
-31,39.8092
-30,40.9506
-29,39.8656
-28,38.5264
-27,38.0563
-26,38.0699
-25,38.0539
-24,37.4827
-23,37.3155
-22,36.6532
-21,36.1283
-20,35.3516
-19,35.4124
-18,34.8211
-17,34.5043
-16,33.9890
-15,33.0269
-14,33.2132
-13,31.4073
-12,30.8057
-11,29.5821
-10,28.8999
-9,26.7060
-8,25.5090
-7,23.6435
-6,22.7983
-5,21.1087
-4,17.4648
-3,16.4337
-2,13.9710
-1,11.7747
0,9.0903
1,9.1939
2,3.9823
3,3.2015
4,0.5290
5,-0.0323
6,-3.3990
7,-3.7492
8,-6.9890
9,-9.3546
10,-10.7568
11,-11.9903
12,-13.1931
13,-14.8280
14,-16.9236
15,-18.1392
16,-21.3960
17,-21.3251
18,-22.6556
19,-24.6791
20,-27.4964
